,idx,source,w1,w2,w1_lemma,w2_lemma,rel_type,note,total_freq,w1_freq,w2_freq,rel_type_total_freq,MI,t-score,z-score,logDice,ΔP(w1->w2),ΔP(w2->w1),acad,blog,fic,mag,news,spok,tvm,web,log_freq,w1_log,w2_log,PC1,PC2,PC3
11,12,GFS2015,lose,weight,lose,weight,verb_obj,,8088,187354,32587,33005666,5.45036148,87.87647919,581.077146,10.23481024,0.042423111,0.242760396,242,1474,528,2000,565,1210,797,1272,3.9078411425829445,5.272662969697675,4.513044380611925,2.2113643635050244,-1.255481756307915,0.0908326944972891
12,13,GFS2015,eye,contact,eye,contact,mod_noun,,3591,18300,25431,64729561,8.964234721,59.80497436,1336.561904,11.39380122,0.195892009,0.140978288,314,416,970,504,254,304,458,371,3.555215405126073,4.26245108973043,4.4053634378769715,4.058643428037813,2.0003728034546038,-0.4235058365310425
13,14,GFS2015,hold,hands,hold,hand,verb_obj,,13096,175132,145226,33005666,4.087025551,107.7040826,444.0080129,10.38751311,0.070753275,0.085245655,207,670,7089,998,639,872,1596,1025,4.117138666403885,5.24336550732662,5.162044375631907,2.035078710164514,-1.5023474426007526,-1.5881627482366951
14,15,GFS2015,find,job,find,job,verb_obj,,6682,369861,172506,33005666,1.789363967,58.09514234,108.0104894,8.657154392,0.012985201,0.027673537,408,1341,620,596,1116,792,618,1191,3.8249064713021124,5.5680385395399155,5.236804205041611,-0.4765766456374141,-1.8342394534973387,-1.4703691536460612
15,16,GFS2015,illegal,immigrant,illegal,immigrant,mod_noun,,5079,27190,21676,64729561,9.12365068,71.13934272,1680.18116,11.73378536,0.186540103,0.233972744,217,646,46,318,1612,1312,70,858,3.705778212828598,4.4344092075875,4.335979142340353,5.023636065266909,1.60431800922077,0.1229316809967781
16,17,GFS2015,live,music,live,music,mod_noun,,2055,29638,53611,64729561,6.387442161,44.79061311,409.8197181,9.659777357,0.068539814,0.037905206,61,214,55,212,1138,51,44,280,3.312811826212088,4.47184889369765,4.7292539081473635,0.703402135060696,0.6474684789510785,-0.5743508117187406
18,19,GFS2015,social,networks,social,network,mod_noun,,6087,220803,55735,64729561,5.000740823,75.58237915,427.6682922,9.494397436,0.026797928,0.105893258,1397,1457,22,723,936,126,38,1388,3.7844033017530085,5.344004969757318,4.746128005464328,1.0986525551913826,-1.0029380030891535,-0.5743762745612897
19,20,GFS2015,positive,attitude,positive,attitude,mod_noun,,2139,64441,28434,64729561,6.239621443,45.63726689,396.7128203,9.559718082,0.03278652,0.074263921,1205,219,41,189,135,109,78,163,3.330210784571528,4.809162271211988,4.453837959083045,0.5447475346681828,0.23956821430355837,-0.16673507000840962
20,21,GFS2015,early,retirement,early,retirement,mod_noun,,1061,179900,3186,64729561,6.904764112,32.30115293,353.5807229,7.569046989,0.005864801,0.33025646,130,103,98,207,264,63,92,104,3.025715383901341,5.255031163345551,3.503245771465113,0.15974514075725968,-0.22792454474408202,2.1044885202006323
21,22,GFS2015,financial,problems,financial,problem,mod_noun,,1181,99681,186898,64729561,2.036792107,25.99059158,52.64824808,7.07721988,0.008974247,0.004792832,116,144,43,126,334,188,54,176,3.072249897613515,4.998612386180097,5.2716046540079855,-1.9157178871391487,-0.8871527902124019,-0.8520784409476863
22,23,GFS2015,annual,income,annual,income,mod_noun,,1431,46145,53421,64729561,5.231723265,36.82182792,225.7138247,8.879442405,0.030207183,0.026095866,315,164,18,304,331,59,16,224,3.1556396337597765,4.664124650322944,4.727712013419855,-0.36672037002961844,0.18687054808970383,-0.4731986286916373
23,24,GFS2015,volunteer,work,volunteer,work,mod_noun,,952,7594,154106,64729561,5.718531356,30.26853585,219.6423837,7.59185761,0.122995791,0.00607471,120,128,77,128,244,58,70,127,2.9786369483844743,3.8804705928037784,5.1878195479732145,-0.36156618114106404,1.0532991278087023,-0.8379569801295108
24,25,GFS2015,resist,temptation,resist,temptation,verb_obj,,985,13761,2191,33005666,9.993350204499997,31.35560344,1029.630366,10.98253022,0.071542546,0.449179297,132,113,154,216,96,73,50,151,2.9934362304976116,4.138649994851645,3.3406423775607053,3.0178010346726256,1.410721342231902,2.884869814674513
25,26,GFS2015,married,couple,married,couple,mod_noun,,1568,7735,39710,64729561,8.368230911,39.47814452,717.6306678,10.08074141,0.20212561,0.039390944,130,172,140,277,290,174,154,231,3.1953460583484197,3.8884603180353863,4.598899887063883,2.1268775672301716,2.37555587317448,-0.8939734449471489
26,27,GFS2015,raise,awareness,raise,awareness,verb_obj,,2633,122986,9837,33005666,6.166564921,50.59842735,428.8422091,9.343346342,0.021189859,0.264015384,441,576,16,379,406,230,40,545,3.4204508591060683,5.089855676733738,3.9928626713890276,1.031646249409276,-0.5065003108418268,1.0176491533927152
27,28,GFS2015,physical,contact,physical,contact,mod_noun,,896,90580,25431,64729561,4.654070814,28.74437617,144.2315751,7.983452841,0.009512239,0.033846527,185,87,125,123,66,68,117,125,2.9523080096621253,4.957032316346939,4.4053634378769715,-1.1333574427635567,0.011342556871548646,-0.1993391793808718
28,29,GFS2015,night,shift,night,shift,mod_noun,,1072,29279,23797,64729561,6.637939825,32.41265152,323.462589,9.370317163,0.036262037,0.044611768,52,81,245,103,131,93,274,93,3.030194785356751,4.466556239671248,4.376522210604112,0.04189093742773079,0.8362444403079226,-0.06328754792550788
29,30,GFS2015,traffic,jam,traffic,jam,mod_noun,,1356,16554,4233,64729561,9.993350204499997,36.79450722,1302.232581,11.06174752,0.081869279,0.320105377,57,120,161,265,375,158,96,124,3.1322596895310446,4.218902950862829,3.6266482684740105,3.296601677320105,1.7038872861778238,1.9550901255744304
30,31,GFS2015,face,challenge,face,challenge,verb_obj,,4225,80078,27704,33005666,5.974021006,63.96592071,507.1406397,10.32697889,0.052047965,0.150204942,908,523,52,650,929,504,105,554,3.625826713285711,4.903513217820282,4.442542478541404,1.5664738445228898,-0.2716479998246392,-0.16911759279753424
31,32,GFS2015,organic,food,organic,food,mod_noun,Correct spelling: oraganic,1351,19200,70879,64729561,6.005844023,36.18396185,290.0585803,8.940908768,0.069290134,0.018784603,41,404,15,344,176,77,22,272,3.130655349022031,4.283301228703549,4.850517581656287,0.03002463150399554,0.7364068519199294,-0.5876855634500985
32,33,GFS2015,leave,work,leave,work,verb_obj,,1011,208817,101938,33005666,0.7665783830999999,11.51296037,14.588844275,6.736149203,0.001764222,0.003602217,75,99,195,142,134,87,146,133,3.004751155591001,5.31976585211593,5.0083361085789155,-2.5175210038538767,-1.119055499400323,-0.9050827124657224
33,34,GFS2015,day,trip,day,trip,mod_noun,,1557,44359,52417,64729561,5.437788225,38.54849237,253.7909202,9.042191539,0.03431371,0.029042324,76,195,96,396,433,160,70,131,3.1922886125681202,4.646981747139496,4.719472161197968,-0.1794952078351538,0.2397417729023804,-0.4782202498172873
34,35,GFS2015,controversial,issue,controversial,issue,mod_noun,,989,12459,179486,64729561,4.839335645,30.34983777,162.3861436,7.399493257,0.076622256,0.005332488,296,110,2,97,139,198,12,135,2.9951962915971793,4.095483185829541,5.254030579043214,-0.873224632088155,0.4472585176870258,-0.7296802769094953
35,36,GFS2015,reveal,secret,reveal,secret,verb_obj,,945,42908,16842,33005666,5.431646007,30.02861038,197.2783478,9.017519426,0.021541593,0.054837689,58,94,143,167,73,178,115,117,2.975431808509263,4.632538271950371,4.226393663018083,-0.5239801827652011,0.36413519704116354,-0.08941233305179525
36,37,GFS2015,personal,belongings,personal,belonging,mod_noun,,395,136156,1332,64729561,7.139350826,19.73363266,234.3076206,6.556762663,0.002886578,0.294449146,48,30,59,42,46,55,70,45,2.59659709562646,5.134036784195824,3.1245042248342823,-0.775865288643416,0.28922650462521393,2.292975296982934
37,38,GFS2015,unlimited,access,unlimited,access,mod_noun,,1043,6765,35378,64729561,8.140005736,32.1810235,540.4963908,9.663518045,0.153645412,0.029393152,37,39,13,76,784,20,11,63,3.018284308426531,3.8302678009336417,4.548733277598153,1.245523062794383,2.171731824323003,-0.5674686539451329
38,39,GFS2015,prescribe,medication,prescribe,medication,verb_obj,,463,4629,7236,33005666,8.833617217,21.47027121,458.5950965,10.3204439,0.099816367,0.063859379,69,62,14,112,44,56,28,78,2.6655809910179533,3.6654871807828107,3.8594985581877763,0.8224962836000237,2.4363132256501636,0.2761192960146091
39,40,GFS2015,withdraw,money,withdraw,money,verb_obj,,378,6988,200467,33005666,3.154783665,17.25918364,51.50655534,5.899803521,0.048029184,0.0018598236999999998,12,45,20,73,115,39,25,49,2.5774917998372255,3.8443528963108933,5.3020428911833815,-2.288828811793846,0.09350089918931402,-0.5096209891514102
40,41,GFS2015,foreign,accent,foreign,accent,mod_noun,,181,88192,9919,64729561,3.743428133,12.44911204,45.55965774,5.91771861,0.001901694,0.016887926,37,15,46,22,19,14,13,15,2.2576785748691846,4.945429191555494,3.9964678902617172,-2.707078707098652,0.2691562748448339,0.15517913336178885
42,43,GFS2015,destroy,evidence,destroy,evidence,verb_obj,,437,34967,43533,33005666,3.244171615,18.69833038,57.55715414,7.511084436,0.011190398,0.008990796,15,35,42,28,64,69,139,45,2.640481436970422,4.54365837353502,4.63881859682778,-1.9753844920440784,-0.011422442330750179,-0.39410903023230237
43,44,GFS2015,entry,requirements,entry,requirement,mod_noun,,103,7128,32764,64729561,4.83531641,9.793388512,52.3263718,6.402688692,0.013945424,0.003035111,46,8,3,15,6,2,0,23,2.012837224705172,3.852967691028818,4.515396917260586,-2.5700162921909935,1.0083739323800205,0.2967200614665798
44,45,GFS2015,generate,jobs,generate,job,verb_obj,,360,33548,172506,33005666,1.037837313,9.732408103,14.588844275,5.839190152,0.005509936,0.0018598236999999998,35,47,0,60,96,73,2,47,2.5563025007672873,4.525666634345422,5.236804205041611,-3.027064332714156,-0.706334361979487,-0.5933116001589155
45,46,GFS2015,unforeseen,circumstances,unforeseen,circumstance,mod_noun,Correct spelling: unforseen,114,1306,19864,64729561,8.15200367,10.63954166,179.4410221,7.463156365,0.086984312,0.005720605,21,19,11,8,16,6,17,16,2.0569048513364727,3.115943176939055,4.298066706546508,-1.1552885832373205,2.5526694761415385,0.4076854098593766
46,47,GFS2015,clockwise,direction,clockwise,direction,mod_noun,,59,224,33354,64729561,8.997637344,9.0557195441,173.3224891,5.847414368,0.262878485,0.0018598236999999998,20,6,3,11,4,2,1,12,1.7708520116421442,2.3502480183341627,4.5231479244222035,-0.6856530731721544,4.010422637645789,-0.24990260119835564
47,48,GFS2015,overcome,difficulty,overcome,difficulty,verb_obj,,250,15911,15497,33005666,5.064556431,15.33890485,88.73318156,8.026939827,0.015250226,0.015657437,100,33,12,25,12,15,7,46,2.3979400086720375,4.201697475739228,4.190247633038196,-1.6893072592887697,0.8530566513243664,0.06728702903314636
48,49,GFS2015,exploit,resources,exploit,resource,verb_obj,,302,8153,28144,33005666,5.440960046,16.97809994,111.9013112,8.090842047,0.036197819,0.010492457,111,45,12,33,20,8,7,66,2.4800069429571505,3.9113174423240307,4.449385822113386,-1.4013790418064795,1.0331463913857935,-0.07141717977474436
49,50,NW2017,make,money,make,money,verb_obj,,24589,920276,200467,33005666,2.137223497,121.1635189,254.1300769,9.489701385,0.021237598,0.095355389,536,5520,1539,2665,3342,3964,3141,3882,4.390740866952916,5.963918096150782,5.3020428911833815,1.3542202159190986,-2.975232835473835,-1.7715702408248999
50,51,NW2017,enter,college,enter,college,verb_obj,,537,68649,9112,33005666,4.824485536,22.35541304,118.9981277,7.822019126,0.007562056,0.056869059,252,48,20,75,61,19,3,59,2.7299742856995555,4.836634215314288,3.959613711071044,-1.3696346948103075,0.23442266969289577,0.14423376867299595
51,52,NW2017,spend,time,spend,time,verb_obj,,39791,174224,269365,33005666,4.80657818,192.348807,1017.54026,11.52129047,0.221397385,0.143614951,2826,7163,4012,5685,4511,4896,4976,5722,4.599784853673271,5.24110798046283,5.430341164904593,5.537189116897979,-1.6417512567119334,-2.806049276203204
52,53,NW2017,give,birth,give,birth,verb_obj,,8924,705536,11984,33005666,5.122503091,91.75515639,541.55681,8.670815278,0.012553803,0.6103594658999991,781,1211,1166,1572,975,1015,1034,1170,3.9505595616118003,5.848519178547438,4.078601800355392,2.492366964099771,-2.782024166251722,2.5724273071565906
53,54,NW2017,send,word,send,word,verb_obj,,730,135679,113144,33005666,0.7665783830999999,9.804019355,14.588844275,6.586992332,0.001960387,0.002349229,30,34,203,66,80,66,156,95,2.863322860120456,5.132512634027598,5.053631528366029,-2.6776912624808573,-0.9884180191341267,-0.8244880424750768
54,55,NW2017,make,noise,make,noise,verb_obj,,6361,920276,12355,33005666,4.206733776,75.43661454,324.159471,7.804091012,0.006725243,0.487152278,112,477,2403,579,399,698,1177,516,3.8035253955765325,5.963918096150782,4.091842749738098,1.2158310895236217,-2.600839219476291,1.8824712283236549
55,56,NW2017,lose,hope,lose,hope,verb_obj,Correct spelling: hose,868,187354,22175,33005666,2.785707868,25.18937747,66.14671,7.084760823,0.0039837,0.03348926,37,144,101,86,98,146,138,118,2.938519725176492,5.272662969697675,4.345863628503764,-1.842662218167126,-0.6436395039690845,-0.43164441942547227
56,57,NW2017,study,art,study,art,verb_obj,,571,47823,15819,33005666,4.638769512,22.93640603,114.4800344,8.199655382,0.01147721,0.034663515,112,38,61,183,72,22,40,43,2.756636108245848,4.6796368165011915,4.199179026051127,-1.3107427459393988,0.2770063735531442,-0.10097739940553303
57,58,NW2017,play,ball,play,ball,verb_obj,,3152,194070,44629,33005666,3.58635074,51.4686189,178.3783279,8.757218823,0.014977467,0.06483449,56,316,299,394,565,328,939,255,3.498586208817518,5.2879584058601505,4.649617155732587,-0.2896748657405205,-0.9968267883077966,-0.7095037478962254
58,59,NW2017,take,care,take,care,verb_obj,,62492,1120240,86134,33005666,4.417922639,200.61107730999987,1101.712707,10.72913808,0.055043007,0.6103594658999991,1623,6903,8430,4494,4415,8781,21779,6067,4.7958244240923475,6.049311075803824,4.935174616002774,5.793159718535027,-4.38152595663722,0.9662850545918729
59,60,NW2017,feel,pain,feel,pain,verb_obj,,3956,80653,25424,33005666,5.992693098,61.90898912,494.0192834,10.25507436,0.048397605,0.153275463,112,568,719,403,305,518,700,631,3.5972562829251418,4.9066205262099665,4.4052438798633045,1.4755299044168664,-0.2597229448024828,-0.09319877931906478
61,62,NW2017,pay,tax,pay,tax,verb_obj,Correct spelling: tac,3083,147589,11245,33005666,5.938107833,54.61916555,427.6804009,9.312958931,0.020640689,0.269786586,123,804,44,289,383,428,80,932,3.488973524726508,5.169053990160983,4.050959459771651,1.0943224123967459,-0.704387864356296,0.9564441810160428
62,63,NW2017,hold,court,hold,court,verb_obj,,558,175132,9191,33005666,3.516242372,21.55748661,72.91977803,6.632244734,0.002923212,0.055420879,31,30,131,123,124,38,27,54,2.7466341989375787,5.24336550732662,3.963362766103736,-1.970556919546289,-0.33493079061276376,0.0021768355818988917
63,64,NW2017,take,comfort,take,comfort,verb_obj,,1072,1120240,6505,33005666,2.279589805,25.99811105,57.28675853,4.962359573,0.000786546,0.130881266,67,168,191,171,136,90,88,161,3.030194785356751,6.049311075803824,3.813247300897605,-2.198781960046275,-1.4139215329038013,0.22142340582213857
64,65,NW2017,express,concern,express,concern,verb_obj,,3867,43107,29367,33005666,6.655666607,61.56842509,618.2095213,10.77182315,0.088933403,0.130488469,987,402,62,410,938,491,66,511,3.5873741720730656,4.634547799500113,4.4678595832272,2.0357399619318937,0.3600696882694374,-0.3704523853380509
65,66,NW2017,take,notice,take,notice,verb_obj,,2692,1120240,10194,33005666,2.959864013,45.21596373,126.1234138,6.286017362,0.002167777,0.23020717,179,399,557,365,329,209,121,533,3.430075055551939,6.049311075803824,4.008344629252689,-0.8996073598224484,-1.8685680673690237,0.5462647919285736
66,67,NW2017,make,music,make,music,verb_obj,,2305,920276,34052,33005666,1.279602415,28.23449285,43.99257125,6.306425359,0.00151523,0.039849339,267,353,175,341,246,344,234,345,3.362670929725667,5.963918096150782,4.532142624720334,-1.9746311933637355,-1.6238423552718508,-0.8212513037932344
67,68,NW2017,rewrite,history,rewrite,history,verb_obj,,559,3254,38117,33005666,7.216769355,23.48423767,286.4233967,8.790372263,0.17065053,0.014583625,59,113,8,64,53,108,76,78,2.747411807886423,3.51241754860084,4.581118712146874,0.31664699381672784,2.2210441188019483,-0.7231047793446859
68,69,NW2017,take,place,take,place,verb_obj,,54388,1120240,118087,33005666,3.762344087,200.61107730999987,795.7855947,10.49103985,0.046552564,0.428166724,10214,6879,3942,6764,6612,8540,2739,8698,4.73550308887706,6.049311075803824,5.072202089493081,4.711370147838654,-4.207371904981476,-0.2426662712350324
69,70,NW2017,give,voice,give,voice,verb_obj,,2073,705536,36688,33005666,1.402333963,28.30537499,46.01942693,6.516009275,0.001866524,0.03516637,430,275,174,265,288,296,77,268,3.3165993020938607,5.848519178547438,4.564524037385864,-1.9385612915280959,-1.508291158389137,-0.8250667024343254
70,71,NW2017,watch,television,watch,television,verb_obj,,2881,97379,6778,33005666,7.170597332,53.30237858,639.7776015,9.82395367,0.029467014,0.422187965,250,192,696,371,334,538,285,215,3.459543258280413,4.988465310395624,3.8311015645013593,2.06921817640133,-0.5263257766971553,2.1007893359003074
71,72,NW2017,catch,fish,catch,fish,verb_obj,,1635,54670,14043,33005666,6.135259989,39.85987666,334.1831855,9.606779469,0.029530154,0.114820584,112,119,278,405,183,98,325,115,3.2135177569963047,4.737749073891557,4.1474598958471045,0.38878073579599887,0.2443305618012808,0.16529587446496355
72,73,NW2017,lose,weight,lose,weight,verb_obj,Correct spelling: wight,8088,187354,32587,33005666,5.45036148,87.87647919,581.077146,10.23481024,0.042423111,0.242760396,242,1474,528,2000,565,1210,797,1272,3.9078411425829445,5.272662969697675,4.513044380611925,2.2113643635050244,-1.255481756307915,0.0908326944972891
73,74,NW2017,take,issue,take,issue,verb_obj,,3459,1120240,70837,33005666,0.7665783830999999,17.93358692,21.51052823,6.572304046,0.000974603,0.014921599,342,610,53,378,587,897,57,535,3.5389505620143615,6.049311075803824,4.850260160210945,-2.079174031498098,-1.7155577605949566,-1.1074558564890156
74,75,NW2017,do,business,do,business,verb_obj,,10207,476373,62213,33005666,3.506821074,92.14197122,310.6609496,9.278454074,0.019827744,0.149914898,584,1232,736,1298,2013,1765,1468,1111,4.00889811477094,5.677947138446113,4.793881144149803,1.086410014646656,-2.0516797907401076,-0.7609244030953113
75,76,NW2017,lose,sight,lose,sight,verb_obj,,2812,187354,9418,33005666,5.716978992,52.02014354,377.2789952,8.87121546,0.01480773,0.292984375,315,388,377,348,301,343,321,419,3.4490153163477864,5.272662969697675,3.9739586861067036,0.8433742207071029,-0.8665913503121734,1.1584418668350087
76,77,NW2017,take,note,take,note,verb_obj,,6381,1120240,35952,33005666,2.386616366,64.6054569,147.7375047,7.498617254,0.004768687,0.14370234,709,912,1076,875,727,646,524,912,3.8048887446223913,6.049311075803824,4.555723055075053,-0.3391365421144999,-2.2048418728701322,-0.5190278680430153
77,78,NW2017,lose,ground,lose,ground,verb_obj,,1097,187354,22266,33005666,3.117596144,29.30494644,86.33480428,7.421930964,0.00521019,0.04362095,98,153,55,190,229,209,39,124,3.0402066275747113,5.272662969697675,4.347642204732427,-1.524973105433618,-0.657669483734072,-0.41261876356759203
78,79,NW2017,make,sense,make,sense,verb_obj,,52715,920276,103351,33005666,4.193236389,200.61107730999987,928.3201292,10.72066724,0.055703565,0.483690178,3950,11476,5513,5445,3902,5692,8106,8631,4.721934210854012,5.963918096150782,5.014314683115033,5.183034124293249,-4.093907624370974,0.13820208114018942
